epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,835.923,1.24066,3.0029,1.56054,0.63412,0.37222,0.34871,0.25788,0.8572,2.55455,0.99603,0.00027428,0.00027428,0.00027428
2,1876.48,0.94346,1.81653,1.29743,0.64214,0.49563,0.50923,0.3685,0.98566,2.29797,1.13705,0.000550126,0.000550126,0.000550126
3,2920.36,0.86528,1.52492,1.2306,0.71558,0.54679,0.54825,0.4204,0.72867,1.60623,0.82075,0.000824138,0.000824138,0.000824138
4,3854.94,0.82562,1.37978,1.20592,0.72902,0.59974,0.60423,0.48445,0.63392,1.38579,0.71244,0.000824753,0.000824753,0.000824753
5,4747.79,0.74257,1.24447,1.16146,0.51013,0.57065,0.53604,0.3777,1.43098,2.71437,1.6566,0.000822004,0.000822004,0.000822004
6,5940.39,0.7072,1.15215,1.13681,0.81106,0.67793,0.7348,0.58333,0.65693,1.07829,0.70421,0.000819255,0.000819255,0.000819255
7,7914.01,0.70766,1.06568,1.1367,0.80245,0.66469,0.6916,0.57663,0.57796,1.00177,0.64512,0.000816507,0.000816507,0.000816507
8,8595,0.66013,1.02744,1.11543,0.63104,0.69369,0.71566,0.61071,0.51977,1.00361,0.5762,0.000813758,0.000813758,0.000813758
9,9216.52,0.63728,0.99682,1.09855,0.68819,0.71043,0.72748,0.60968,0.48453,1.13351,0.51814,0.000811009,0.000811009,0.000811009
10,9770.32,0.61828,0.94541,1.08656,0.61989,0.71865,0.7594,0.62712,0.51764,0.91689,0.54292,0.00080826,0.00080826,0.00080826
11,10328.5,0.58055,0.89379,1.07163,0.73026,0.84752,0.80204,0.70242,0.42838,0.68913,0.48275,0.000805511,0.000805511,0.000805511
12,10887.6,0.58318,0.84763,1.07161,0.87921,0.70921,0.83954,0.73396,0.39555,0.60394,0.45822,0.000802762,0.000802762,0.000802762
